,gene1,gene2,combined_score
144,ENSG00000020129,ENSG00000239636,1
145,ENSG00000239636,ENSG00000020129,1
146,ENSG00000238365,ENSG00000143595,1
147,ENSG00000143595,ENSG00000238365,1
148,ENSG00000238365,ENSG00000143515,1
149,ENSG00000143515,ENSG00000238365,1
150,ENSG00000143595,ENSG00000143515,1
151,ENSG00000143515,ENSG00000143595,1
152,ENSG00000034971,ENSG00000233328,1
153,ENSG00000233328,ENSG00000034971,1
154,ENSG00000286581,ENSG00000223810,1
155,ENSG00000223810,ENSG00000286581,1
156,ENSG00000171729,ENSG00000175147,1
157,ENSG00000175147,ENSG00000171729,1
158,ENSG00000155366,ENSG00000271810,1
159,ENSG00000271810,ENSG00000155366,1
160,ENSG00000155366,ENSG00000261595,1
161,ENSG00000261595,ENSG00000155366,1
162,ENSG00000155366,ENSG00000184599,1
163,ENSG00000184599,ENSG00000155366,1
164,ENSG00000155366,ENSG00000155363,1
165,ENSG00000155363,ENSG00000155366,1
166,ENSG00000155366,ENSG00000155367,1
167,ENSG00000155367,ENSG00000155366,1
168,ENSG00000271810,ENSG00000261595,1
169,ENSG00000261595,ENSG00000271810,1
170,ENSG00000271810,ENSG00000184599,1
171,ENSG00000184599,ENSG00000271810,1
172,ENSG00000271810,ENSG00000155363,1
173,ENSG00000155363,ENSG00000271810,1
174,ENSG00000271810,ENSG00000155367,1
175,ENSG00000155367,ENSG00000271810,1
176,ENSG00000261595,ENSG00000184599,1
177,ENSG00000184599,ENSG00000261595,1
178,ENSG00000261595,ENSG00000155363,1
179,ENSG00000155363,ENSG00000261595,1
180,ENSG00000261595,ENSG00000155367,1
181,ENSG00000155367,ENSG00000261595,1
182,ENSG00000184599,ENSG00000155363,1
183,ENSG00000155363,ENSG00000184599,1
184,ENSG00000184599,ENSG00000155367,1
185,ENSG00000155367,ENSG00000184599,1
186,ENSG00000155363,ENSG00000155367,1
187,ENSG00000155367,ENSG00000155363,1
188,ENSG00000231827,ENSG00000291199,1
189,ENSG00000291199,ENSG00000231827,1
190,ENSG00000288925,ENSG00000233791,1
191,ENSG00000233791,ENSG00000288925,1
192,ENSG00000288925,ENSG00000231507,1
193,ENSG00000231507,ENSG00000288925,1
194,ENSG00000233791,ENSG00000231507,1
195,ENSG00000231507,ENSG00000233791,1
196,ENSG00000196189,ENSG00000160789,1
197,ENSG00000160789,ENSG00000196189,1
198,ENSG00000135775,ENSG00000282564,1
199,ENSG00000282564,ENSG00000135775,1
200,ENSG00000237424,ENSG00000186564,1
201,ENSG00000186564,ENSG00000237424,1
202,ENSG00000237193,ENSG00000278180,1
203,ENSG00000278180,ENSG00000237193,1
204,ENSG00000237193,ENSG00000237469,1
205,ENSG00000237469,ENSG00000237193,1
206,ENSG00000278180,ENSG00000237469,1
207,ENSG00000237469,ENSG00000278180,1
208,ENSG00000183291,ENSG00000153936,1
209,ENSG00000153936,ENSG00000183291,1
210,ENSG00000224066,ENSG00000160051,1
211,ENSG00000160051,ENSG00000224066,1
212,ENSG00000224066,ENSG00000160050,1
213,ENSG00000160050,ENSG00000224066,1
214,ENSG00000224066,ENSG00000222046,1
215,ENSG00000222046,ENSG00000224066,1
216,ENSG00000224066,ENSG00000084623,1
217,ENSG00000084623,ENSG00000224066,1
218,ENSG00000224066,ENSG00000160055,1
219,ENSG00000160055,ENSG00000224066,1
220,ENSG00000160051,ENSG00000160050,1
221,ENSG00000160050,ENSG00000160051,1
222,ENSG00000160051,ENSG00000222046,1
223,ENSG00000222046,ENSG00000160051,1
224,ENSG00000160051,ENSG00000084623,1
225,ENSG00000084623,ENSG00000160051,1
226,ENSG00000160051,ENSG00000160055,1
227,ENSG00000160055,ENSG00000160051,1
228,ENSG00000160050,ENSG00000222046,1
229,ENSG00000222046,ENSG00000160050,1
230,ENSG00000160050,ENSG00000084623,1
231,ENSG00000084623,ENSG00000160050,1
232,ENSG00000160050,ENSG00000160055,1
233,ENSG00000160055,ENSG00000160050,1
234,ENSG00000222046,ENSG00000084623,1
235,ENSG00000084623,ENSG00000222046,1
236,ENSG00000222046,ENSG00000160055,1
237,ENSG00000160055,ENSG00000222046,1
238,ENSG00000084623,ENSG00000160055,1
239,ENSG00000160055,ENSG00000084623,1
240,ENSG00000176444,ENSG00000116521,1
241,ENSG00000116521,ENSG00000176444,1
242,ENSG00000286231,ENSG00000257551,1
243,ENSG00000257551,ENSG00000286231,1
244,ENSG00000286231,ENSG00000136630,1
245,ENSG00000136630,ENSG00000286231,1
246,ENSG00000286231,ENSG00000289142,1
247,ENSG00000289142,ENSG00000286231,1
248,ENSG00000257551,ENSG00000136630,1
249,ENSG00000136630,ENSG00000257551,1
250,ENSG00000257551,ENSG00000289142,1
251,ENSG00000289142,ENSG00000257551,1
252,ENSG00000136630,ENSG00000289142,1
